strain,fluorescence,intensity,stress
empty,cfp,3632.8345,no_mg
empty,cfp,3698.2197,no_mg
empty,cfp,3334.7754,no_mg
empty,cfp,5446.2188,no_mg
empty,cfp,2847.2773,no_mg
empty,cfp,2386.4714,no_mg
empty,cfp,4468.113,no_mg
empty,cfp,3323.039,no_mg
empty,cfp,2900.3262,no_mg
empty,cfp,4684.8027,no_mg
empty,cfp,2744.1572,no_mg
empty,cfp,4844.824,no_mg
empty,cfp,2734.8032,no_mg
empty,cfp,3613.408,no_mg
empty,cfp,3340.9167,no_mg
empty,cfp,3902.3037,no_mg
empty,cfp,3197.326,no_mg
empty,cfp,3576,no_mg
empty,cfp,3685.0732,no_mg
empty,cfp,4929.766,no_mg
empty,cfp,3290.3447,no_mg
empty,cfp,4919.726,no_mg
empty,cfp,4035.7278,no_mg
empty,cfp,3590.455,no_mg
empty,cfp,3799.2632,no_mg
empty,cfp,3763.3818,no_mg
empty,cfp,3927.037,no_mg
empty,cfp,2970.4097,no_mg
empty,cfp,3785.673,no_mg
empty,cfp,2860.875,no_mg
empty,cfp,4071.041,no_mg
empty,cfp,3653.184,no_mg
empty,cfp,4076.1155,no_mg
empty,cfp,3431.327,no_mg
empty,cfp,3732.9875,no_mg
empty,cfp,2595.3086,no_mg
empty,cfp,3664.6475,no_mg
empty,cfp,3092.8765,no_mg
empty,cfp,3359.7822,no_mg
empty,cfp,1851.5924,no_mg
empty,cfp,4046.7427,no_mg
empty,cfp,2657.4456,no_mg
empty,cfp,4243.5693,no_mg
empty,cfp,3118.0752,no_mg
empty,cfp,3246.192,no_mg
empty,cfp,3058.3538,no_mg
empty,cfp,3045.835,no_mg
empty,cfp,2885.1191,no_mg
empty,cfp,2681.1914,no_mg
empty,cfp,3563.825,no_mg
empty,cfp,4226.9556,no_mg
empty,cfp,2878.0774,no_mg
empty,cfp,3303.2974,no_mg
empty,cfp,3129.6836,no_mg
empty,cfp,2193.764,no_mg
empty,cfp,3195.829,no_mg
empty,cfp,3527.3057,no_mg
empty,cfp,2023.6923,no_mg
empty,cfp,2046.9775,no_mg
empty,cfp,2100.5073,no_mg
empty,cfp,2223.3052,no_mg
empty,cfp,2265.3682,no_mg
empty,cfp,2273.0417,no_mg
empty,cfp,2295.2937,no_mg
empty,cfp,2312.623,no_mg
empty,cfp,2314.5957,no_mg
empty,cfp,2339.0134,no_mg
empty,cfp,2373.6167,no_mg
empty,cfp,2392.898,no_mg
empty,cfp,2393.961,no_mg
empty,cfp,2414.057,no_mg
empty,cfp,2416.2856,no_mg
empty,cfp,2496.1052,no_mg
empty,cfp,2506.822,no_mg
empty,cfp,2545.8845,no_mg
empty,cfp,2552.31,no_mg
empty,cfp,2569.3762,no_mg
empty,cfp,2583.0444,no_mg
empty,cfp,2605.9114,no_mg
empty,cfp,2617.3333,no_mg
empty,cfp,2649.2166,no_mg
empty,cfp,2667.465,no_mg
empty,cfp,2670.4534,no_mg
empty,cfp,2676.6155,no_mg
empty,cfp,2722.7964,no_mg
empty,cfp,2728.9226,no_mg
empty,cfp,2729.716,no_mg
empty,cfp,2750.7488,no_mg
empty,cfp,2758.5579,no_mg
empty,cfp,2761.487,no_mg
empty,cfp,2771.1646,no_mg
empty,cfp,2776.4011,no_mg
empty,cfp,2801.8906,no_mg
empty,cfp,2810.672,no_mg
empty,cfp,2811.0833,no_mg
empty,cfp,2821.4375,no_mg
empty,cfp,2877.5908,no_mg
empty,cfp,2883.7546,no_mg
empty,cfp,2886.6614,no_mg
empty,cfp,2896.2935,no_mg
empty,cfp,2899.4285,no_mg
empty,cfp,2902.0166,no_mg
empty,cfp,2909.894,no_mg
empty,cfp,2940.8496,no_mg
empty,cfp,2950.4775,no_mg
empty,cfp,2956.5483,no_mg
empty,cfp,2957.3545,no_mg
empty,cfp,2973.886,no_mg
empty,cfp,2980.2395,no_mg
empty,cfp,3001.411,no_mg
empty,cfp,3003.625,no_mg
empty,cfp,3033.946,no_mg
empty,cfp,3036.8643,no_mg
empty,cfp,3047.2932,no_mg
empty,cfp,3048.7866,no_mg
empty,cfp,3071.283,no_mg
empty,cfp,3078.3215,no_mg
empty,cfp,3110.1333,no_mg
empty,cfp,3132.6035,no_mg
empty,cfp,3154.258,no_mg
empty,cfp,3157.9749,no_mg
empty,cfp,3171.2798,no_mg
empty,cfp,3196.8262,no_mg
empty,cfp,3197.2903,no_mg
empty,cfp,3268.608,no_mg
empty,cfp,3277.4,no_mg
empty,cfp,3278.0532,no_mg
empty,cfp,3284.6814,no_mg
empty,cfp,3295.1897,no_mg
empty,cfp,3415.5796,no_mg
empty,cfp,3429.2944,no_mg
empty,cfp,3484.3176,no_mg
empty,cfp,3518.78,no_mg
empty,cfp,3521.16,no_mg
empty,cfp,3528.5283,no_mg
empty,cfp,3553.5608,no_mg
empty,cfp,3620.2732,no_mg
empty,cfp,3764.547,no_mg
empty,cfp,3831.1785,no_mg
empty,cfp,3852.3132,no_mg
empty,cfp,4039.4688,no_mg
empty,cfp,4067.111,no_mg
empty,cfp,4080.2693,no_mg
empty,cfp,4494.2173,no_mg
empty,cfp,4515.1475,no_mg
empty,cfp,4547.662,no_mg
empty,cfp,4722.3906,no_mg
empty,cfp,5101.7764,no_mg
empty,cfp,5187.2285,no_mg
yoaI,cfp,6074.2485,10mM
yoaI,cfp,3654.0403,10mM
yoaI,cfp,6408.4976,10mM
yoaI,cfp,4644.7246,10mM
yoaI,cfp,4198.345,10mM
yoaI,cfp,8440.715,10mM
yoaI,cfp,3729.634,10mM
yoaI,cfp,4970.5723,10mM
yoaI,cfp,7244.426,10mM
yoaI,cfp,5067.3286,10mM
yoaI,cfp,5046.182,10mM
yoaI,cfp,4369.5337,10mM
yoaI,cfp,4082.8245,10mM
yoaI,cfp,5088.543,10mM
yoaI,cfp,4913.837,10mM
yoaI,cfp,6310.337,10mM
yoaI,cfp,4230.367,10mM
yoaI,cfp,6147.224,10mM
yoaI,cfp,3833.9846,10mM
yoaI,cfp,6642.2046,10mM
yoaI,cfp,4592.3755,10mM
yoaI,cfp,5608.6704,10mM
yoaI,cfp,5125.6445,10mM
yoaI,cfp,4884.469,10mM
yoaI,cfp,7114.6675,10mM
yoaI,cfp,4999.3887,10mM
yoaI,cfp,6993.2656,10mM
yoaI,cfp,6049.8315,10mM
yoaI,cfp,5025.013,10mM
yoaI,cfp,4452.064,10mM
yoaI,cfp,4795.988,10mM
yoaI,cfp,5100.3384,10mM
yoaI,cfp,5909.25,10mM
yoaI,cfp,5728.6626,10mM
yoaI,cfp,3449.037,10mM
yoaI,cfp,4104.6177,10mM
yoaI,cfp,4784.6133,10mM
yoaI,cfp,6277.5366,10mM
yoaI,cfp,4996.2754,10mM
yoaI,cfp,5189.2515,10mM
yoaI,cfp,5912.6685,10mM
yoaI,cfp,4349.4565,10mM
yoaI,cfp,7652.3193,10mM
yoaI,cfp,3148.51,10mM
yoaI,cfp,7950.7524,10mM
yoaI,cfp,5859.772,10mM
yoaI,cfp,3997.253,10mM
yoaI,cfp,4439.855,10mM
yoaI,cfp,5281.763,10mM
yoaI,cfp,5051.1074,10mM
yoaI,cfp,5259.145,10mM
yoaI,cfp,7006.875,10mM
yoaI,cfp,5545.793,10mM
yoaI,cfp,5773.383,10mM
yoaI,cfp,6444.4233,10mM
yoaI,cfp,5546.9033,10mM
yoaI,cfp,5113.5186,10mM
yoaI,cfp,5783.1963,10mM
yoaI,cfp,6392.7124,10mM
yoaI,cfp,5133.268,10mM
yoaI,cfp,6688.678,10mM
yoaI,cfp,4431.332,10mM
yoaI,cfp,5798.0767,10mM
yoaI,cfp,3826.3809,10mM
yoaI,cfp,6618.8506,10mM
yoaI,cfp,4597.961,10mM
yoaI,cfp,4371.456,10mM
yoaI,cfp,5848.7827,10mM
yoaI,cfp,5028.707,10mM
yoaI,cfp,5474.443,10mM
yoaI,cfp,5576.4775,10mM
yoaI,cfp,4149.8,10mM
yoaI,cfp,6200.156,10mM
yoaI,cfp,3396.896,10mM
yoaI,cfp,5500.2007,10mM
yoaI,cfp,4236.008,10mM
yoaI,cfp,4963.964,10mM
yoaI,cfp,4987.7593,10mM
yoaI,cfp,4581.7334,10mM
yoaI,cfp,4186.3755,10mM
yoaI,cfp,5134.2676,10mM
yoaI,cfp,6183.702,10mM
yoaI,cfp,4975.4146,10mM
yoaI,cfp,7040.6006,10mM
yoaI,cfp,6143.297,10mM
yoaI,cfp,5479.8174,10mM
yoaI,cfp,6273.1147,10mM
yoaI,cfp,3311.7317,10mM
yoaI,cfp,6413.278,10mM
yoaI,cfp,4798.1772,10mM
yoaI,cfp,5183.3447,10mM
yoaI,cfp,3732.5244,10mM
yoaI,cfp,5271.419,10mM
yoaI,cfp,4820.1675,10mM
yoaI,cfp,6524.2334,10mM
yoaI,cfp,4566.1045,10mM
yoaI,cfp,4614.3525,10mM
yoaI,cfp,5635.813,10mM
yoaI,cfp,3779.7444,10mM
yoaI,cfp,5964.0034,10mM
yoaI,cfp,4908.452,10mM
yoaI,cfp,6318.2417,10mM
yoaI,cfp,3836.9023,10mM
yoaI,cfp,6544.884,10mM
yoaI,cfp,4361.1216,10mM
yoaI,cfp,5030.274,10mM
yoaI,cfp,3387.4368,10mM
yoaI,cfp,5504.6016,10mM
yoaI,cfp,5300.3345,10mM
yoaI,cfp,6625.4727,10mM
yoaI,cfp,5002.534,10mM
yoaI,cfp,4096.506,10mM
yoaI,cfp,5787.434,10mM
yoaI,cfp,5789.189,10mM
yoaI,cfp,4740.3306,10mM
yoaI,cfp,5922.0986,10mM
yoaI,cfp,4909.1807,10mM
yoaI,cfp,4987.452,10mM
yoaI,cfp,5185.931,10mM
yoaI,cfp,7000.969,10mM
yoaI,cfp,6270.995,10mM
yoaI,cfp,5523.264,10mM
yoaI,cfp,4936.379,10mM
yoaI,cfp,5615.145,10mM
yoaI,cfp,4431.413,10mM
yoaI,cfp,6805.14,10mM
yoaI,cfp,4663.2603,10mM
yoaI,cfp,5126.0576,10mM
yoaI,cfp,4755.308,10mM
yoaI,cfp,4704.6577,10mM
yoaI,cfp,6041.362,10mM
yoaI,cfp,5301.839,10mM
yoaI,cfp,4705.172,10mM
yoaI,cfp,4406.0396,10mM
yoaI,cfp,5173.858,10mM
yoaI,cfp,5587.5356,10mM
yoaI,cfp,5744.4385,10mM
yoaI,cfp,6490.3643,10mM
yoaI,cfp,6695.5273,10mM
yoaI,cfp,6602.734,10mM
yoaI,cfp,5905.099,10mM
yoaI,cfp,4784.853,10mM
yoaI,cfp,7296.1406,10mM
yoaI,cfp,5048.713,10mM
yoaI,cfp,7229.1978,10mM
yoaI,cfp,3467.6624,10mM
yoaI,cfp,7175.207,10mM
yoaI,cfp,4919.502,10mM
yoaI,cfp,6619.398,10mM
yoaI,cfp,4076.048,10mM
yoaI,cfp,4155.4717,10mM
yoaI,cfp,4730.51,10mM
yoaI,cfp,5706.9214,10mM
yoaI,cfp,5309.378,10mM
yoaI,cfp,5149.996,10mM
yoaI,cfp,4884.6753,10mM
yoaI,cfp,5798.845,10mM
yoaI,cfp,4328.6826,10mM
yoaI,cfp,5965.3125,10mM
yoaI,cfp,6029.9854,10mM
yoaI,cfp,4215.7173,10mM
yoaI,cfp,5116.3823,10mM
yoaI,cfp,7482.293,10mM
yoaI,cfp,4401.6294,10mM
yoaI,cfp,4654.755,10mM
yoaI,cfp,5695.119,10mM
yoaI,cfp,6562.992,10mM
yoaI,cfp,4873.732,10mM
yoaI,cfp,6222.4517,10mM
yoaI,cfp,4979.1294,10mM
yoaI,cfp,4012.282,10mM
yoaI,cfp,7473.897,10mM
yoaI,cfp,5711.386,10mM
yoaI,cfp,3963.163,10mM
yoaI,cfp,4856.3203,10mM
yoaI,cfp,8339.2705,10mM
yoaI,cfp,4635.106,10mM
yoaI,cfp,5671.836,10mM
yoaI,cfp,7813.8696,10mM
yoaI,cfp,3871.2424,10mM
yoaI,cfp,6149.034,10mM
yoaI,cfp,4977.218,10mM
yoaI,cfp,5786.903,10mM
yoaI,cfp,5018.886,10mM
yoaI,cfp,4729.932,10mM
yoaI,cfp,6033.1973,10mM
yoaI,cfp,5206.644,10mM
yoaI,cfp,8755.636,10mM
yoaI,cfp,5950.9917,10mM
yoaI,cfp,6773.004,10mM
yoaI,cfp,5528.0044,10mM
yoaI,cfp,5737.3975,10mM
yoaI,cfp,4333.16,10mM
yoaI,cfp,4812.7695,10mM
yoaI,cfp,5951.788,10mM
yoaI,cfp,3504.3926,10mM
yoaI,cfp,6333.4453,10mM
yoaI,cfp,7044.7725,10mM
yoaI,cfp,6126.1846,10mM
yoaI,cfp,4888.7354,10mM
yoaI,cfp,4505.62,10mM
yoaI,cfp,6089.2017,10mM
yoaI,cfp,3248.6128,10mM
yoaI,cfp,5898.209,10mM
yoaI,cfp,4588.9785,10mM
yoaI,cfp,5022.6025,10mM
yoaI,cfp,6274.6724,10mM
yoaI,cfp,5155.2944,10mM
yoaI,cfp,4130.004,10mM
yoaI,cfp,5157.631,10mM
yoaI,cfp,4037.0688,10mM
yoaI,cfp,5596.6836,10mM
yoaI,cfp,6554.368,10mM
yoaI,cfp,4834.2705,10mM
yoaI,cfp,5574.0728,10mM
yoaI,cfp,6299.762,10mM
yoaI,cfp,5117.335,10mM
yoaI,cfp,4317.8286,10mM
yoaI,cfp,4254.7207,10mM
yoaI,cfp,4160.762,10mM
yoaI,cfp,6353.355,10mM
yoaI,cfp,5582.1025,10mM
yoaI,cfp,3827.9092,10mM
yoaI,cfp,5042.126,10mM
yoaI,cfp,6606.3545,10mM
yoaI,cfp,4063.0884,10mM
yoaI,cfp,5352.6084,10mM
yoaI,cfp,5766.271,10mM
yoaI,cfp,4834.419,10mM
yoaI,cfp,6560.7983,10mM
yoaI,cfp,6516.1235,10mM
yoaI,cfp,6145.7026,10mM
yoaI,cfp,5340.557,10mM
yoaI,cfp,4663.403,10mM
yoaI,cfp,6298.359,10mM
yoaI,cfp,7235.066,10mM
yoaI,cfp,6096.6416,10mM
yoaI,cfp,5044.15,10mM
yoaI,cfp,4088.935,10mM
yoaI,cfp,4111.8384,10mM
yoaI,cfp,5553.147,10mM
yoaI,cfp,4275.1885,10mM
yoaI,cfp,4184.18,10mM
yoaI,cfp,4114.6973,10mM
yoaI,cfp,5816.5903,10mM
yoaI,cfp,3890.5347,10mM
yoaI,cfp,5211.791,10mM
yoaI,cfp,4388.623,10mM
yoaI,cfp,4721.1436,10mM
yoaI,cfp,4342.107,10mM
yoaI,cfp,3521.1963,10mM
yoaI,cfp,4906.7817,10mM
yoaI,cfp,5344.7544,10mM
yoaI,cfp,4743.756,10mM
yoaI,cfp,5299.208,10mM
yoaI,cfp,4485.705,10mM
yoaI,cfp,6096.4463,10mM
yoaI,cfp,3182.369,10mM
yoaI,cfp,3715.0483,10mM
yoaI,cfp,5448.6694,10mM
yoaI,cfp,4685.6978,10mM
yoaI,cfp,4527.906,10mM
yoaI,cfp,8411.959,10mM
yoaI,cfp,4711.136,10mM
yoaI,cfp,4642.099,10mM
yoaI,cfp,3874.542,10mM
yoaI,cfp,3348.736,10mM
yoaI,cfp,4796.7417,10mM
yoaI,cfp,5947.6685,10mM
yoaI,cfp,5887.583,10mM
yoaI,cfp,5999.0337,10mM
yoaI,cfp,4578.613,10mM
yoaI,cfp,4153.778,10mM
yoaI,cfp,6846.6797,10mM
yoaI,cfp,7133.7207,10mM
yoaI,cfp,6053.5356,10mM
yoaI,cfp,3251.8694,10mM
yoaI,cfp,5789.2246,10mM
yoaI,cfp,5725.032,10mM
yoaI,cfp,4188.39,10mM
yoaI,cfp,5697.17,10mM
yoaI,cfp,5847.75,10mM
yoaI,cfp,6081.413,10mM
yoaI,cfp,4386.7173,10mM
yoaI,cfp,4811.7603,10mM
yoaI,cfp,7084.9033,10mM
yoaI,cfp,7907.401,10mM
yoaI,cfp,4075.1682,10mM
yoaI,cfp,6860.576,10mM
yoaI,cfp,5681.868,10mM
yoaI,cfp,4619.1797,10mM
yoaI,cfp,4969.454,10mM
yoaI,cfp,6705.5786,10mM
yoaI,cfp,3441.2273,10mM
yoaI,cfp,3147.8433,10mM
yoaI,cfp,4604.0845,10mM
yoaI,cfp,6278.433,10mM
yoaI,cfp,6042.9736,10mM
yoaI,cfp,5406.3022,10mM
yoaI,cfp,6518.6997,10mM
yoaI,cfp,5243.857,10mM
yoaI,cfp,4655.7437,10mM
yoaI,cfp,4744.5317,10mM
yoaI,cfp,4777.091,10mM
yoaI,cfp,5594.9297,10mM
yoaI,cfp,3395.3086,10mM
yoaI,cfp,4885.7397,10mM
yoaI,cfp,6155.579,10mM
yoaI,cfp,5829.4604,10mM
yoaI,cfp,4846.388,10mM
yoaI,cfp,6331.0522,10mM
yoaI,cfp,4869.8984,10mM
yoaI,cfp,6109.277,10mM
yoaI,cfp,4773.033,10mM
yoaI,cfp,6087.6885,10mM
yoaI,cfp,4951.293,10mM
yoaI,cfp,6928.5454,10mM
yoaI,cfp,5777.438,10mM
yoaI,cfp,6415.897,10mM
yoaI,cfp,7444.8594,10mM
yoaI,cfp,5727.674,10mM
yoaI,cfp,4969.1353,10mM
yoaI,cfp,5989.3687,10mM
yoaI,cfp,6582.883,10mM
yoaI,cfp,7441.9956,10mM
yoaI,cfp,5101.4946,10mM
yoaI,cfp,4140.68,10mM
yoaI,cfp,5083.895,10mM
yoaI,cfp,5981.634,10mM
yoaI,cfp,4506.543,10mM
yoaI,cfp,4795.3335,10mM
yoaI,cfp,4829.691,10mM
yoaI,cfp,4921.5728,10mM
yoaI,cfp,5110.968,10mM
yoaI,cfp,6963.87,10mM
yoaI,cfp,5544.3726,10mM
yoaI,cfp,6434.4434,10mM
yoaI,cfp,5510.5317,10mM
yoaI,cfp,4166.163,10mM
yoaI,cfp,5840.7183,10mM
yoaI,cfp,7181.6396,10mM
yoaI,cfp,5519.1675,10mM
yoaI,cfp,4696.0747,10mM
yoaI,cfp,4520.7007,10mM
yoaI,cfp,5174.726,10mM
yoaI,cfp,3095.9324,10mM
yoaI,cfp,6797.4385,10mM
yoaI,cfp,4445.3403,10mM
yoaI,cfp,4233.027,10mM
yoaI,cfp,6159.474,10mM
yoaI,cfp,5194.929,10mM
yoaI,cfp,7221.16,10mM
yoaI,cfp,4765.1396,10mM
yoaI,cfp,5378,10mM
yoaI,cfp,4307.373,10mM
yoaI,cfp,5383.304,10mM
yoaI,cfp,5033.1943,10mM
yoaI,cfp,4912.517,10mM
yoaI,cfp,4901.4253,10mM
yoaI,cfp,5937.966,10mM
yoaI,cfp,4203.916,10mM
yoaI,cfp,4175.7485,10mM
yoaI,cfp,6011.9287,10mM
yoaI,cfp,4453.674,10mM
yoaI,cfp,8946.57,10mM
yoaI,cfp,4731.142,10mM
yoaI,cfp,8372.727,10mM
yoaI,cfp,4308.3228,10mM
yoaI,cfp,3259.6235,10mM
yoaI,cfp,4912.0684,10mM
yoaI,cfp,4167.7,10mM
yoaI,cfp,5364.951,10mM
yoaI,cfp,6312.8716,10mM
yoaI,cfp,4596.961,10mM
yoaI,cfp,4808.101,10mM
yoaI,cfp,6284.1943,10mM
yoaI,cfp,7242.229,10mM
yoaI,cfp,5339.6,10mM
yoaI,cfp,6548.353,10mM
yoaI,cfp,8758.522,10mM
yoaI,cfp,5404.353,10mM
yoaI,cfp,6032.658,10mM
yoaI,cfp,5347.7275,10mM
yoaI,cfp,4173.1514,10mM
yoaI,cfp,6190.946,10mM
yoaI,cfp,6053.4316,10mM
yoaI,cfp,5908.011,10mM
yoaI,cfp,3044.6978,10mM
yoaI,cfp,4690.387,10mM
yoaI,cfp,4558.701,10mM
yoaI,cfp,5020.057,10mM
yoaI,cfp,4704.53,10mM
yoaI,cfp,5289.386,10mM
yoaI,cfp,3976.36,10mM
yoaI,cfp,3856.5684,10mM
yoaI,cfp,5961.718,10mM
yoaI,cfp,5030.4697,10mM
yoaI,cfp,4721.4326,10mM
yoaI,cfp,4424.9883,10mM
yoaI,cfp,6136.593,10mM
yoaI,cfp,6308.006,10mM
yoaI,cfp,5134.6045,10mM
yoaI,cfp,4041.6243,10mM
yoaI,cfp,4716.292,10mM
yoaI,cfp,6764.86,10mM
yoaI,cfp,5061.2236,10mM
yoaI,cfp,5320.7173,10mM
yoaI,cfp,5145.0557,10mM
yoaI,cfp,5185.297,10mM
yoaI,cfp,4879.0396,10mM
yoaI,cfp,8873.331,10mM
yoaI,cfp,3617.1775,10mM
yoaI,cfp,5256.1963,10mM
yoaI,cfp,5565.813,10mM
yoaI,cfp,4328.0786,10mM
yoaI,cfp,5876.6255,10mM
yoaI,cfp,7425.6626,10mM
yoaI,cfp,5682.271,10mM
yoaI,cfp,4671.27,10mM
yoaI,cfp,5329.6626,10mM
yoaI,cfp,6185.0195,10mM
yoaI,cfp,6485.754,10mM
yoaI,cfp,5388.247,10mM
yoaI,cfp,7210.5513,10mM
yoaI,cfp,4521.88,10mM
yoaI,cfp,5765.906,10mM
yoaI,cfp,5886.275,10mM
yoaI,cfp,6373.933,10mM
yoaI,cfp,5132.083,10mM
yoaI,cfp,4364.5513,10mM
yoaI,cfp,5991.705,10mM
yoaI,cfp,5251.036,10mM
yoaI,cfp,4283.1187,10mM
yoaI,cfp,3752.3193,10mM
yoaI,cfp,8404.223,10mM
yoaI,cfp,6804.463,10mM
yoaI,cfp,6866.5815,10mM
yoaI,cfp,5309.4644,10mM
yoaI,cfp,3247.8,10mM
yoaI,cfp,4412.1255,10mM
yoaI,cfp,4187.4395,10mM
yoaI,cfp,4794.6665,10mM
yoaI,cfp,6402.361,10mM
yoaI,cfp,6115.14,10mM
yoaI,cfp,5645.564,10mM
yoaI,cfp,8136.2515,10mM
yoaI,cfp,4582.5854,10mM
yoaI,cfp,7529.1284,10mM
yoaI,cfp,6897.7095,10mM
yoaI,cfp,6986.943,10mM
yoaI,cfp,5314.465,10mM
yoaI,cfp,3693.4077,10mM
yoaI,cfp,3365.1482,10mM
yoaI,cfp,5096.708,10mM
yoaI,cfp,4383.7974,10mM
yoaI,cfp,6119.924,10mM
yoaI,cfp,4839.4067,10mM
yoaI,cfp,5659.6074,10mM
yoaI,cfp,5415.5723,10mM
yoaI,cfp,6032.172,10mM
yoaI,cfp,5453.052,10mM
yoaI,cfp,5150.2744,10mM
yoaI,cfp,5292.7285,10mM
yoaI,cfp,5416.045,10mM
yoaI,cfp,5063.559,10mM
yoaI,cfp,4800.642,10mM
yoaI,cfp,3483.5483,10mM
yoaI,cfp,4907.987,10mM
yoaI,cfp,4658.414,10mM
yoaI,cfp,7085.342,10mM
yoaI,cfp,4223.557,10mM
yoaI,cfp,5301.082,10mM
yoaI,cfp,4379.72,10mM
yoaI,cfp,5523.8047,10mM
yoaI,cfp,4840.503,10mM
yoaI,cfp,4798.05,10mM
yoaI,cfp,4219.578,10mM
yoaI,cfp,8319.746,10mM
yoaI,cfp,5045.8257,10mM
yoaI,cfp,3451.3022,10mM
yoaI,cfp,4519.5,10mM
yoaI,cfp,5869.774,10mM
yoaI,cfp,4997.6357,10mM
yoaI,cfp,5355.336,10mM
yoaI,cfp,8303.718,10mM
yoaI,cfp,7464.3945,10mM
yoaI,cfp,4662.8076,10mM
yoaI,cfp,4849.81,10mM
yoaI,cfp,6686.817,10mM
yoaI,cfp,5296.7534,10mM
yoaI,cfp,4831.8647,10mM
yoaI,cfp,5307.7314,10mM
yoaI,cfp,4870.25,10mM
yoaI,cfp,5447.6772,10mM
yoaI,cfp,4726.5317,10mM
yoaI,cfp,5143.549,10mM
yoaI,cfp,4196.9927,10mM
yoaI,cfp,3070.1448,10mM
yoaI,cfp,9239.208,10mM
yoaI,cfp,5025.694,10mM
yoaI,cfp,4502.157,10mM
yoaI,cfp,4290.248,10mM
yoaI,cfp,5622.9224,10mM
yoaI,cfp,5604.048,10mM
yoaI,cfp,6275.9863,10mM
yoaI,cfp,4293.326,10mM
yoaI,cfp,4798.8164,10mM
yoaI,cfp,7719.1333,10mM
yoaI,cfp,6575.053,10mM
yoaI,cfp,6730.9106,10mM
yoaI,cfp,4280.871,10mM
yoaI,cfp,5199.623,10mM
yoaI,cfp,5572.349,10mM
yoaI,cfp,5221.8516,10mM
yoaI,cfp,5220.066,10mM
yoaI,cfp,4232.08,10mM
yoaI,cfp,6695.569,10mM
yoaI,cfp,6410.6206,10mM
yoaI,cfp,6841.027,10mM
yoaI,cfp,4828.71,10mM
yoaI,cfp,4674.9175,10mM
yoaI,cfp,11909.47,10mM
yoaI,cfp,6438.6816,10mM
yoaI,cfp,5691.418,10mM
yoaI,cfp,4790.783,10mM
yoaI,cfp,5360.8945,10mM
yoaI,cfp,4457.2104,10mM
yoaI,cfp,5514.145,10mM
yoaI,cfp,5434.717,10mM
yoaI,cfp,6580.7104,10mM
yoaI,cfp,6115.157,10mM
yoaI,cfp,3261.5566,10mM
yoaI,cfp,5947.387,10mM
yoaI,cfp,3246.4856,10mM
yoaI,cfp,8909.186,10mM
yoaI,cfp,4939.143,10mM
yoaI,cfp,3588.4114,no_mg
yoaI,cfp,3620.7156,no_mg
yoaI,cfp,3637.858,no_mg
yoaI,cfp,3658.4285,no_mg
yoaI,cfp,3662.1296,no_mg
yoaI,cfp,3746.951,no_mg
yoaI,cfp,3751.0928,no_mg
yoaI,cfp,3788.3694,no_mg
yoaI,cfp,3832.3447,no_mg
yoaI,cfp,3842.2644,no_mg
yoaI,cfp,3849.261,no_mg
yoaI,cfp,3874.995,no_mg
yoaI,cfp,3905.3757,no_mg
yoaI,cfp,3906.5037,no_mg
yoaI,cfp,3922.239,no_mg
yoaI,cfp,3924.497,no_mg
yoaI,cfp,3926.6243,no_mg
yoaI,cfp,3930.284,no_mg
yoaI,cfp,3934.5117,no_mg
yoaI,cfp,3949.5828,no_mg
yoaI,cfp,3967.788,no_mg
yoaI,cfp,3973.8787,no_mg
yoaI,cfp,3976.6519,no_mg
yoaI,cfp,3980.114,no_mg
yoaI,cfp,4006.2886,no_mg
yoaI,cfp,4028.7234,no_mg
yoaI,cfp,4036.452,no_mg
yoaI,cfp,4044.5266,no_mg
yoaI,cfp,4044.6177,no_mg
yoaI,cfp,4051.9304,no_mg
yoaI,cfp,4060.2136,no_mg
yoaI,cfp,4067.0894,no_mg
yoaI,cfp,4081.4966,no_mg
yoaI,cfp,4095.8325,no_mg
yoaI,cfp,4111.548,no_mg
yoaI,cfp,4122.7905,no_mg
yoaI,cfp,4124.7207,no_mg
yoaI,cfp,4128.4644,no_mg
yoaI,cfp,4138.9634,no_mg
yoaI,cfp,4153.3667,no_mg
yoaI,cfp,4154.3745,no_mg
yoaI,cfp,4154.4062,no_mg
yoaI,cfp,4154.407,no_mg
yoaI,cfp,4159.6587,no_mg
yoaI,cfp,4159.9614,no_mg
yoaI,cfp,4188.8413,no_mg
yoaI,cfp,4219.0063,no_mg
yoaI,cfp,4243.6484,no_mg
yoaI,cfp,4277.1533,no_mg
yoaI,cfp,4281.031,no_mg
yoaI,cfp,4281.578,no_mg
yoaI,cfp,4288.5063,no_mg
yoaI,cfp,4297.3657,no_mg
yoaI,cfp,4303.593,no_mg
yoaI,cfp,4317.3643,no_mg
yoaI,cfp,4321.9053,no_mg
yoaI,cfp,4330.832,no_mg
yoaI,cfp,4333.128,no_mg
yoaI,cfp,4344.903,no_mg
yoaI,cfp,4355.134,no_mg
yoaI,cfp,4361.402,no_mg
yoaI,cfp,4362.1006,no_mg
yoaI,cfp,4365.8916,no_mg
yoaI,cfp,4368.298,no_mg
yoaI,cfp,4378.507,no_mg
yoaI,cfp,4384.4355,no_mg
yoaI,cfp,4406.3174,no_mg
yoaI,cfp,4406.614,no_mg
yoaI,cfp,4413.1216,no_mg
yoaI,cfp,4438.6494,no_mg
yoaI,cfp,4448.618,no_mg
yoaI,cfp,4451.527,no_mg
yoaI,cfp,4459.915,no_mg
