strain,fluorescence,stress
wild_type,6835.991,low_Mg
wild_type,6878.852,low_Mg
wild_type,6890.6323,low_Mg
wild_type,6893.2446,low_Mg
wild_type,6913.2256,low_Mg
wild_type,6939.092,low_Mg
wild_type,6960.153,low_Mg
wild_type,6993.0366,low_Mg
wild_type,7017.732,low_Mg
wild_type,7066.6724,low_Mg
wild_type,7077.67,low_Mg
wild_type,7078.7314,low_Mg
wild_type,7088.809,low_Mg
wild_type,7109.802,low_Mg
wild_type,7124.45,low_Mg
wild_type,7134.2065,low_Mg
wild_type,7139.258,low_Mg
wild_type,7156.0254,low_Mg
wild_type,7158.1704,low_Mg
wild_type,7267.9224,low_Mg
wild_type,7293.396,low_Mg
wild_type,7295.413,low_Mg
wild_type,7304.0073,low_Mg
wild_type,7305.479,low_Mg
wild_type,7321.5757,low_Mg
wild_type,7352.946,low_Mg
wild_type,7392.0464,low_Mg
wild_type,7407.1353,low_Mg
wild_type,7429.946,low_Mg
wild_type,7434.854,low_Mg
wild_type,7443.6143,low_Mg
wild_type,7450.1597,low_Mg
wild_type,7474.6704,low_Mg
wild_type,7503.6885,low_Mg
wild_type,7637.3384,low_Mg
wild_type,7667.0093,low_Mg
wild_type,7697.1665,low_Mg
wild_type,7714.596,low_Mg
wild_type,7716.9136,low_Mg
wild_type,7731.678,low_Mg
wild_type,7803.859,low_Mg
wild_type,7825.2285,low_Mg
wild_type,7834.5,low_Mg
wild_type,7843.172,low_Mg
wild_type,7867.0996,low_Mg
wild_type,7871.905,low_Mg
wild_type,7872.4375,low_Mg
wild_type,7883.045,low_Mg
wild_type,7936.366,low_Mg
wild_type,8002.568,low_Mg
wild_type,8022.717,low_Mg
wild_type,8112.961,low_Mg
wild_type,8141.1147,low_Mg
wild_type,8174.972,low_Mg
wild_type,8187.837,low_Mg
wild_type,8520.555,low_Mg
wild_type,8672.847,low_Mg
wild_type,8739.819,low_Mg
wild_type,8755.351,low_Mg
wild_type,8802.366,low_Mg
wild_type,8826.379,low_Mg
wild_type,8889.353,low_Mg
wild_type,8963.274,low_Mg
