hour,replicates,vector,wt,OD
8,7,small,no,0.673
8,8,small,no,0.626
9,1,empty,yes,0.997
9,2,empty,yes,1.023
9,3,empty,yes,1.034
9,4,empty,yes,1.056
9,5,empty,yes,0.818
9,6,empty,yes,0.878
9,7,empty,yes,0.853
9,8,empty,yes,0.798
9,1,empty,no,0.528
9,2,empty,no,0.578
9,3,empty,no,0.566
9,4,empty,no,0.65
9,5,empty,no,0.68
9,6,empty,no,0.744
9,7,empty,no,0.903
9,8,empty,no,0.894
9,1,small,no,0.408
9,2,small,no,0.488
9,3,small,no,0.528
9,4,small,no,0.6
9,5,small,no,0.589
9,6,small,no,0.589
9,7,small,no,0.639
9,8,small,no,0.602
10,1,empty,yes,0.998
10,2,empty,yes,1.029
10,3,empty,yes,1.045
10,4,empty,yes,1.073
10,5,empty,yes,0.818
10,6,empty,yes,0.885
10,7,empty,yes,0.87
10,8,empty,yes,0.813
10,1,empty,no,0.52
10,2,empty,no,0.54
10,3,empty,no,0.563
10,4,empty,no,0.635
10,5,empty,no,0.686
10,6,empty,no,0.736
10,7,empty,no,0.913
10,8,empty,no,0.9
10,1,small,no,0.403
10,2,small,no,0.494
10,3,small,no,0.546
10,4,small,no,0.587
10,5,small,no,0.599
10,6,small,no,0.59
10,7,small,no,0.642
10,8,small,no,0.62
11,1,empty,yes,0.988
11,2,empty,yes,1.028
11,3,empty,yes,1.045
11,4,empty,yes,1.081
11,5,empty,yes,0.813
11,6,empty,yes,0.88
11,7,empty,yes,0.861
11,8,empty,yes,0.83
11,1,empty,no,0.516
11,2,empty,no,0.56
11,3,empty,no,0.567
11,4,empty,no,0.621
11,5,empty,no,0.685
11,6,empty,no,0.709
11,7,empty,no,0.903
11,8,empty,no,0.888
11,1,small,no,0.409
11,2,small,no,0.484
11,3,small,no,0.541
11,4,small,no,0.588
11,5,small,no,0.598
11,6,small,no,0.593
11,7,small,no,0.647
11,8,small,no,0.615
12,1,empty,yes,0.978
12,2,empty,yes,1.022
12,3,empty,yes,1.045
12,4,empty,yes,1.086
12,5,empty,yes,0.809
12,6,empty,yes,0.874
12,7,empty,yes,0.859
12,8,empty,yes,0.837
12,1,empty,no,0.507
12,2,empty,no,0.556
12,3,empty,no,0.581
12,4,empty,no,0.625
12,5,empty,no,0.674
12,6,empty,no,0.722
12,7,empty,no,0.892
12,8,empty,no,0.895
12,1,small,no,0.433
12,2,small,no,0.48
12,3,small,no,0.514
12,4,small,no,0.587
12,5,small,no,0.597
12,6,small,no,0.59
12,7,small,no,0.635
12,8,small,no,0.609
13,1,empty,yes,0.962
13,2,empty,yes,1.007
13,3,empty,yes,1.039
13,4,empty,yes,1.085
13,5,empty,yes,0.825
13,6,empty,yes,0.893
13,7,empty,yes,0.88
13,8,empty,yes,0.854
13,1,empty,no,0.527
13,2,empty,no,0.58
13,3,empty,no,0.584
13,4,empty,no,0.628
13,5,empty,no,0.699
13,6,empty,no,0.705
13,7,empty,no,0.908
13,8,empty,no,0.91
13,1,small,no,0.442
13,2,small,no,0.482
13,3,small,no,0.532
13,4,small,no,0.589
13,5,small,no,0.597
13,6,small,no,0.607
13,7,small,no,0.645
13,8,small,no,0.621
14,1,empty,yes,0.957
14,2,empty,yes,1.003
14,3,empty,yes,1.038
14,4,empty,yes,1.082
14,5,empty,yes,0.832
14,6,empty,yes,0.91
14,7,empty,yes,0.892
14,8,empty,yes,0.893
14,1,empty,no,0.508
14,2,empty,no,0.565
14,3,empty,no,0.584
14,4,empty,no,0.633
14,5,empty,no,0.694
14,6,empty,no,0.698
14,7,empty,no,0.912
14,8,empty,no,0.926
14,1,small,no,0.415
14,2,small,no,0.497
14,3,small,no,0.542
14,4,small,no,0.582
14,5,small,no,0.6
14,6,small,no,0.601
14,7,small,no,0.641
14,8,small,no,0.598
15,1,empty,yes,0.953
15,2,empty,yes,0.999
15,3,empty,yes,1.044
15,4,empty,yes,1.081
15,5,empty,yes,0.834
15,6,empty,yes,0.916
15,7,empty,yes,0.897
15,8,empty,yes,0.901
15,1,empty,no,0.504
15,2,empty,no,0.575
15,3,empty,no,0.586
15,4,empty,no,0.625
15,5,empty,no,0.699
15,6,empty,no,0.699
15,7,empty,no,0.911
15,8,empty,no,0.931
15,1,small,no,0.407
15,2,small,no,0.489
15,3,small,no,0.549
15,4,small,no,0.577
15,5,small,no,0.611
15,6,small,no,0.599
15,7,small,no,0.658
15,8,small,no,0.614
16,1,empty,yes,0.951
16,2,empty,yes,0.993
16,3,empty,yes,1.044
16,4,empty,yes,1.081
16,5,empty,yes,0.827
16,6,empty,yes,0.902
16,7,empty,yes,0.867
16,8,empty,yes,0.914
16,1,empty,no,0.491
16,2,empty,no,0.576
16,3,empty,no,0.584
16,4,empty,no,0.624
16,5,empty,no,0.698
16,6,empty,no,0.698
16,7,empty,no,0.9
16,8,empty,no,0.937
16,1,small,no,0.396
16,2,small,no,0.45
16,3,small,no,0.553
16,4,small,no,0.587
16,5,small,no,0.612
16,6,small,no,0.599
16,7,small,no,0.602
16,8,small,no,0.642
17,1,empty,yes,0.948
17,2,empty,yes,0.994
17,3,empty,yes,1.048
17,4,empty,yes,1.076
17,5,empty,yes,0.826
17,6,empty,yes,0.9
17,7,empty,yes,0.863
17,8,empty,yes,0.929
17,1,empty,no,0.507
17,2,empty,no,0.569
17,3,empty,no,0.56
17,4,empty,no,0.618
17,5,empty,no,0.682
17,6,empty,no,0.685
17,7,empty,no,0.903
17,8,empty,no,0.938
17,1,small,no,0.4
17,2,small,no,0.432
17,3,small,no,0.551
17,4,small,no,0.575
17,5,small,no,0.604
17,6,small,no,0.596
17,7,small,no,0.568
17,8,small,no,0.637
18,1,empty,yes,0.948
18,2,empty,yes,1.005
18,3,empty,yes,1.051
18,4,empty,yes,1.071
18,5,empty,yes,0.817
18,6,empty,yes,0.906
18,7,empty,yes,0.875
18,8,empty,yes,0.94
18,1,empty,no,0.511
18,2,empty,no,0.561
18,3,empty,no,0.553
18,4,empty,no,0.61
18,5,empty,no,0.676
18,6,empty,no,0.687
18,7,empty,no,0.891
18,8,empty,no,0.942
18,1,small,no,0.404
18,2,small,no,0.414
18,3,small,no,0.513
18,4,small,no,0.547
18,5,small,no,0.601
18,6,small,no,0.602
18,7,small,no,0.567
18,8,small,no,0.651
19,1,empty,yes,0.949
19,2,empty,yes,1.011
19,3,empty,yes,1.056
19,4,empty,yes,1.065
19,5,empty,yes,0.817
19,6,empty,yes,0.9
19,7,empty,yes,0.887
19,8,empty,yes,0.947
19,1,empty,no,0.524
