hour,replicate,strain,wild_type,OD,stress
2,5,yriB(yriA_syn_mut),no,0.214,stress
2,6,yriB(yriA_syn_mut),no,0.204,stress
2,7,yriB(yriA_syn_mut),no,0.2,stress
2,8,yriB(yriA_syn_mut),no,0.22,stress
3,1,Empty_vector,yes,0.3,stress
3,2,Empty_vector,yes,0.308,stress
3,3,Empty_vector,yes,0.316,stress
3,4,Empty_vector,yes,0.329,stress
3,5,Empty_vector,yes,0.323,stress
3,6,Empty_vector,yes,0.318,stress
3,7,Empty_vector,yes,0.304,stress
3,8,Empty_vector,yes,0.292,stress
3,1,Empty_vector,no,0.28,stress
3,2,Empty_vector,no,0.257,stress
3,3,Empty_vector,no,0.303,stress
3,4,Empty_vector,no,0.319,stress
3,5,Empty_vector,no,0.259,stress
3,6,Empty_vector,no,0.246,stress
3,7,Empty_vector,no,0.249,stress
3,8,Empty_vector,no,0.287,stress
3,1,yriA,no,0.282,stress
3,2,yriA,no,0.264,stress
3,3,yriA,no,0.288,stress
3,4,yriA,no,0.281,stress
3,5,yriA,no,0.292,stress
3,6,yriA,no,0.282,stress
3,7,yriA,no,0.245,stress
3,8,yriA,no,0.253,stress
3,1,yriB,no,0.257,stress
3,2,yriB,no,0.253,stress
3,3,yriB,no,0.244,stress
3,4,yriB,no,0.237,stress
3,5,yriB,no,0.196,stress
3,6,yriB,no,0.222,stress
3,7,yriB,no,0.24,stress
3,8,yriB,no,0.323,stress
3,1,yriAB,no,0.277,stress
3,2,yriAB,no,0.283,stress
3,3,yriAB,no,0.295,stress
3,4,yriAB,no,0.27,stress
3,5,yriAB,no,0.303,stress
3,6,yriAB,no,0.26,stress
3,7,yriAB,no,0.244,stress
3,8,yriAB,no,0.263,stress
3,1,yriB(yriA_syn_mut),no,0.26,stress
3,2,yriB(yriA_syn_mut),no,0.253,stress
3,3,yriB(yriA_syn_mut),no,0.314,stress
3,4,yriB(yriA_syn_mut),no,0.297,stress
3,5,yriB(yriA_syn_mut),no,0.26,stress
3,6,yriB(yriA_syn_mut),no,0.25,stress
3,7,yriB(yriA_syn_mut),no,0.21,stress
3,8,yriB(yriA_syn_mut),no,0.261,stress
4,1,Empty_vector,yes,0.462,stress
4,2,Empty_vector,yes,0.456,stress
4,3,Empty_vector,yes,0.46,stress
4,4,Empty_vector,yes,0.459,stress
4,5,Empty_vector,yes,0.461,stress
4,6,Empty_vector,yes,0.464,stress
4,7,Empty_vector,yes,0.457,stress
4,8,Empty_vector,yes,0.462,stress
4,1,Empty_vector,no,0.361,stress
4,2,Empty_vector,no,0.333,stress
4,3,Empty_vector,no,0.404,stress
4,4,Empty_vector,no,0.426,stress
4,5,Empty_vector,no,0.368,stress
