strain,length,width,phase
MgrB,28.485474,10.956587,lag
MgrB,28.492912,10.336047,lag
MgrB,28.549217,11.155976,lag
MgrB,28.56122,8.866522,lag
MgrB,28.565945,10.894346,lag
MgrB,28.582293,10.587055,lag
MgrB,28.592754,9.812565,lag
MgrB,28.609022,10.057589,lag
MgrB,28.64284,9.325231,lag
MgrB,28.651556,10.969944,lag
MgrB,28.753183,9.325283,lag
MgrB,28.80418,10.303528,lag
MgrB,28.847626,10.977755,lag
MgrB,28.940172,10.786692,lag
MgrB,28.956114,9.246438,lag
MgrB,29.010893,10.005283,lag
MgrB,29.074436,9.710598,lag
MgrB,29.122837,9.755222,lag
MgrB,29.140211,10.718195,lag
MgrB,29.162905,10.687268,lag
MgrB,29.217709,9.696741,lag
MgrB,29.349995,9.539095,lag
MgrB,29.370388,9.100873,lag
MgrB,29.539156,9.083701,lag
MgrB,29.549398,9.410441,lag
MgrB,29.549633,10.156904,lag
MgrB,29.549667,10.051585,lag
MgrB,29.62095,10.293084,lag
MgrB,29.702784,10.479466,lag
MgrB,29.736568,10.043005,lag
MgrB,29.817917,12.13667,lag
MgrB,29.833464,9.117488,lag
MgrB,30.003456,9.990123,lag
MgrB,30.034193,7.9181147,lag
MgrB,30.140614,9.95693,lag
MgrB,30.149717,9.455427,lag
MgrB,30.20481,9.865166,lag
MgrB,30.243605,10.530263,lag
MgrB,30.347982,10.1460495,lag
MgrB,30.357838,9.932482,lag
MgrB,30.394888,10.689125,lag
MgrB,30.415037,11.108582,lag
MgrB,30.431707,9.32521,lag
MgrB,30.59046,10.968003,lag
MgrB,30.662437,9.700266,lag
MgrB,30.77492,9.284009,lag
MgrB,30.818455,10.082328,lag
MgrB,31.010984,7.933207,lag
MgrB,31.051271,10.534287,lag
MgrB,31.231625,9.431956,lag
MgrB,31.305231,9.696871,lag
MgrB,31.424686,9.5219,lag
MgrB,31.427013,9.665427,lag
MgrB,31.42702,10.055946,lag
MgrB,31.547123,10.664052,lag
MgrB,31.565315,8.655135,lag
MgrB,31.585821,10.320392,lag
MgrB,31.619833,9.528859,lag
MgrB,31.638504,9.776426,lag
MgrB,31.660244,10.182983,lag
MgrB,31.661625,8.9480095,lag
MgrB,31.777124,9.860045,lag
MgrB,31.909842,10.182049,lag
MgrB,31.922506,9.37866,lag
MgrB,31.944832,10.131469,lag
MgrB,31.959028,10.26794,lag
MgrB,32.004883,9.455559,lag
MgrB,32.101986,9.555458,lag
MgrB,32.166004,10.429827,lag
MgrB,32.2223,10.065898,lag
MgrB,32.237614,9.649177,lag
MgrB,32.272255,9.262472,lag
MgrB,32.325317,9.707536,lag
MgrB,32.381474,10.071009,lag
MgrB,32.39216,11.909085,lag
MgrB,32.465584,10.693923,lag
MgrB,32.55879,8.661766,lag
MgrB,32.59544,8.86469,lag
MgrB,32.59562,8.556496,lag
MgrB,32.702404,10.126212,lag
MgrB,32.770954,9.135193,lag
MgrB,32.83211,10.004942,lag
MgrB,32.881504,8.811237,lag
MgrB,32.929077,9.556932,lag
MgrB,32.94527,9.250204,lag
MgrB,33.005146,7.8036714,lag
MgrB,33.014034,9.472459,lag
MgrB,33.140984,9.74085,lag
MgrB,33.152615,8.723513,lag
MgrB,33.221203,10.182099,lag
MgrB,33.324425,10.477651,lag
MgrB,33.405098,8.150741,lag
MgrB,33.45025,8.503814,lag
MgrB,33.6939,9.795318,lag
MgrB,33.7963,9.572851,lag
MgrB,33.972378,9.125573,lag
MgrB,34.03533,10.290633,lag
MgrB,34.330593,8.629443,lag
MgrB,34.33166,10.277105,lag
MgrB,34.36143,9.585694,lag
MgrB,34.437252,9.693661,lag
MgrB,34.479275,8.613361,lag
MgrB,34.555637,9.091954,lag
MgrB,34.629875,9.0420265,lag
MgrB,34.656895,9.340193,lag
MgrB,34.725468,9.832299,lag
MgrB,34.86927,9.515969,lag
MgrB,34.871674,11.884318,lag
MgrB,34.873066,9.691654,lag
MgrB,34.931065,9.535607,lag
MgrB,35.146637,8.4736395,lag
MgrB,35.18732,9.297648,lag
MgrB,35.353577,9.718793,lag
MgrB,35.421432,9.86468,lag
MgrB,35.482613,9.58823,lag
MgrB,35.512505,8.337016,lag
MgrB,35.680923,9.877265,lag
MgrB,35.72574,11.364654,lag
MgrB,35.82469,10.791932,lag
MgrB,35.864555,8.955051,lag
MgrB,35.872196,9.606311,lag
MgrB,35.97473,10.432235,lag
MgrB,36.12815,10.260625,lag
MgrB,36.22309,9.188888,lag
MgrB,36.25775,9.926831,lag
MgrB,36.28549,8.6905985,lag
MgrB,36.28744,9.304321,lag
MgrB,36.676834,9.942185,lag
MgrB,36.706783,9.960932,lag
MgrB,36.712116,9.813366,lag
MgrB,36.748863,8.291023,lag
MgrB,36.855644,10.473344,lag
MgrB,36.868347,9.216336,lag
MgrB,36.9429,7.8501096,lag
MgrB,36.993256,8.96897,lag
MgrB,37.28495,10.530558,lag
MgrB,37.327682,10.819402,lag
MgrB,37.332,8.042037,lag
MgrB,37.40393,11.120323,lag
MgrB,37.919888,10.107836,lag
MgrB,37.992355,8.990966,lag
MgrB,38.025887,9.555607,lag
MgrB,38.09693,9.82827,lag
MgrB,38.11679,8.978531,lag
MgrB,38.23068,8.427315,lag
MgrB,38.24858,8.895057,lag
MgrB,38.30071,9.6383,lag
MgrB,38.350746,9.533019,lag
MgrB,38.41714,9.117463,lag
MgrB,38.42275,10.315392,lag
MgrB,38.468674,8.04337,lag
MgrB,38.562702,9.282341,lag
MgrB,38.780537,8.759863,lag
MgrB,38.812653,10.646898,lag
MgrB,38.818165,9.427998,lag
MgrB,38.941692,8.965918,lag
MgrB,38.967987,8.060051,lag
MgrB,39.12761,9.611979,lag
MgrB,39.181576,8.741715,lag
MgrB,39.19092,10.306729,lag
MgrB,39.21166,10.198468,lag
MgrB,39.54198,9.599431,lag
MgrB,39.558796,10.414555,lag
MgrB,39.748486,8.037095,lag
MgrB,39.75825,10.356587,lag
MgrB,39.862057,8.830473,lag
MgrB,39.881317,10.578237,lag
MgrB,39.938778,10.042434,lag
MgrB,39.96343,10.144971,lag
MgrB,40.16088,10.169783,lag
MgrB,40.171978,9.322238,lag
MgrB,40.21967,8.380461,lag
MgrB,40.504135,9.738271,lag
MgrB,40.510384,9.730012,lag
MgrB,40.56433,10.477789,lag
MgrB,40.57165,9.667491,lag
MgrB,40.615334,9.645605,lag
MgrB,40.663948,10.019506,lag
MgrB,40.910393,9.984254,lag
MgrB,41.029457,9.912159,lag
MgrB,41.424053,9.125664,lag
MgrB,41.430614,9.905012,lag
MgrB,41.533234,9.8297415,lag
MgrB,41.6228,9.35974,lag
MgrB,41.9609,11.1678505,lag
MgrB,41.98695,10.290848,lag
MgrB,42.241604,9.888876,lag
MgrB,42.538242,11.1933565,lag
MgrB,42.96389,8.2950115,lag
MgrB,43.018063,10.765746,lag
MgrB,43.12961,9.785286,lag
MgrB,43.2899,10.583806,lag
MgrB,44.02446,9.539279,lag
MgrB,44.158775,8.195976,lag
MgrB,44.19912,9.804824,lag
MgrB,44.220043,11.428899,lag
MgrB,44.23319,9.990604,lag
MgrB,44.291016,9.728336,lag
