time,replicate,strain,OD,Empty_vector,stress
0,4,YmiC,0.03,Yes,10mM_mg
1,1,PmrR,0.105,No,no_mg
1,2,PmrR,0.101,No,no_mg
1,3,PmrR,0.103,No,no_mg
1,4,PmrR,0.104,No,no_mg
1,1,PmrR,0.101,No,10mM_mg
1,2,PmrR,0.103,No,10mM_mg
1,3,PmrR,0.104,No,10mM_mg
1,4,PmrR,0.1,No,10mM_mg
1,1,YdgU,0.109,No,no_mg
1,2,YdgU,0.109,No,no_mg
1,3,YdgU,0.11,No,no_mg
1,4,YdgU,0.107,No,no_mg
1,1,YdgU,0.108,No,10mM_mg
1,2,YdgU,0.109,No,10mM_mg
1,3,YdgU,0.109,No,10mM_mg
1,4,YdgU,0.113,No,10mM_mg
1,1,YoaI,0.102,No,no_mg
1,2,YoaI,0.102,No,no_mg
1,3,YoaI,0.099,No,no_mg
1,4,YoaI,0.099,No,no_mg
1,1,YoaI,0.098,No,10mM_mg
1,2,YoaI,0.099,No,10mM_mg
1,3,YoaI,0.098,No,10mM_mg
1,4,YoaI,0.097,No,10mM_mg
1,1,YadX,0.108,No,no_mg
1,2,YadX,0.107,No,no_mg
1,3,YadX,0.106,No,no_mg
1,4,YadX,0.105,No,no_mg
1,1,YadX,0.104,No,10mM_mg
1,2,YadX,0.108,No,10mM_mg
1,3,YadX,0.112,No,10mM_mg
1,4,YadX,0.11,No,10mM_mg
1,1,YriB,0.11,No,no_mg
1,2,YriB,0.111,No,no_mg
1,3,YriB,0.107,No,no_mg
1,4,YriB,0.103,No,no_mg
1,1,YriB,0.104,No,10mM_mg
1,2,YriB,0.106,No,10mM_mg
1,3,YriB,0.11,No,10mM_mg
1,4,YriB,0.106,No,10mM_mg
1,1,YmiA,0.105,No,no_mg
1,2,YmiA,0.106,No,no_mg
1,3,YmiA,0.105,No,no_mg
1,4,YmiA,0.106,No,no_mg
1,1,YmiA,0.107,No,10mM_mg
1,2,YmiA,0.103,No,10mM_mg
1,3,YmiA,0.106,No,10mM_mg
1,4,YmiA,0.105,No,10mM_mg
1,1,MgtT,0.111,No,no_mg
1,2,MgtT,0.106,No,no_mg
1,3,MgtT,0.105,No,no_mg
1,4,MgtT,0.108,No,no_mg
1,1,MgtT,0.108,No,10mM_mg
1,2,MgtT,0.106,No,10mM_mg
1,3,MgtT,0.111,No,10mM_mg
1,4,MgtT,0.107,No,10mM_mg
1,1,YmiC,0.104,No,no_mg
1,2,YmiC,0.103,No,no_mg
1,3,YmiC,0.104,No,no_mg
1,4,YmiC,0.109,No,no_mg
1,1,YmiC,0.106,No,10mM_mg
1,2,YmiC,0.111,No,10mM_mg
1,3,YmiC,0.106,No,10mM_mg
1,4,YmiC,0.106,No,10mM_mg
1,1,PmrR,0.101,Yes,no_mg
1,2,PmrR,0.108,Yes,no_mg
1,3,PmrR,0.109,Yes,no_mg
1,4,PmrR,0.11,Yes,no_mg
1,1,PmrR,0.112,Yes,10mM_mg
1,2,PmrR,0.107,Yes,10mM_mg
1,3,PmrR,0.109,Yes,10mM_mg
1,4,PmrR,0.111,Yes,10mM_mg
1,1,YdgU,0.101,Yes,no_mg
1,2,YdgU,0.108,Yes,no_mg
1,3,YdgU,0.109,Yes,no_mg
1,4,YdgU,0.11,Yes,no_mg
1,1,YdgU,0.112,Yes,10mM_mg
1,2,YdgU,0.107,Yes,10mM_mg
1,3,YdgU,0.109,Yes,10mM_mg
1,4,YdgU,0.111,Yes,10mM_mg
1,1,YoaI,0.101,Yes,no_mg
1,2,YoaI,0.108,Yes,no_mg
1,3,YoaI,0.109,Yes,no_mg
1,4,YoaI,0.11,Yes,no_mg
1,1,YoaI,0.112,Yes,10mM_mg
1,2,YoaI,0.107,Yes,10mM_mg
1,3,YoaI,0.109,Yes,10mM_mg
1,4,YoaI,0.111,Yes,10mM_mg
1,1,YadX,0.101,Yes,no_mg
1,2,YadX,0.108,Yes,no_mg
1,3,YadX,0.109,Yes,no_mg
1,4,YadX,0.11,Yes,no_mg
1,1,YadX,0.112,Yes,10mM_mg
1,2,YadX,0.107,Yes,10mM_mg
1,3,YadX,0.109,Yes,10mM_mg
1,4,YadX,0.111,Yes,10mM_mg
1,1,YriB,0.101,Yes,no_mg
1,2,YriB,0.108,Yes,no_mg
1,3,YriB,0.109,Yes,no_mg
1,4,YriB,0.11,Yes,no_mg
1,1,YriB,0.112,Yes,10mM_mg
1,2,YriB,0.107,Yes,10mM_mg
1,3,YriB,0.109,Yes,10mM_mg
1,4,YriB,0.111,Yes,10mM_mg
1,1,YmiA,0.101,Yes,no_mg
1,2,YmiA,0.108,Yes,no_mg
1,3,YmiA,0.109,Yes,no_mg
1,4,YmiA,0.11,Yes,no_mg
1,1,YmiA,0.112,Yes,10mM_mg
1,2,YmiA,0.107,Yes,10mM_mg
1,3,YmiA,0.109,Yes,10mM_mg
1,4,YmiA,0.111,Yes,10mM_mg
1,1,MgtT,0.101,Yes,no_mg
1,2,MgtT,0.108,Yes,no_mg
1,3,MgtT,0.109,Yes,no_mg
1,4,MgtT,0.11,Yes,no_mg
1,1,MgtT,0.112,Yes,10mM_mg
1,2,MgtT,0.107,Yes,10mM_mg
1,3,MgtT,0.109,Yes,10mM_mg
1,4,MgtT,0.111,Yes,10mM_mg
1,1,YmiC,0.101,Yes,no_mg
1,2,YmiC,0.108,Yes,no_mg
1,3,YmiC,0.109,Yes,no_mg
1,4,YmiC,0.11,Yes,no_mg
1,1,YmiC,0.112,Yes,10mM_mg
1,2,YmiC,0.107,Yes,10mM_mg
1,3,YmiC,0.109,Yes,10mM_mg
